,Datetime,Tweet Id,Text,Username
0,2021-09-25 21:59:43+00:00,1441885151399661572,"@AlexShawESPN @DomBooth19 Signing players like Donny who he doesn't want, Cavani who was signed because he was cheap, Ronaldo because it was obvious, varane because he was available isn't rocket science. 

Making a team good is to win trophies.",TotallyMUFC
1,2021-09-25 21:54:45+00:00,1441883900645711875,@Malachians So your OK with him criticising fans who wanted the Glazers out but he gets critcised and it's too much?,TotallyMUFC
2,2021-09-25 21:53:12+00:00,1441883510873153539,@lega11yblonde_ @JonnyFX1 https://t.co/3V1PICKHbw,TotallyMUFC
3,2021-09-25 20:45:12+00:00,1441866397819097093,"@utd_luhg There are so many Tim Longs 🤣🤣🤣

But the best parody is the original 🤣",TotallyMUFC
4,2021-09-25 20:37:17+00:00,1441864406384717826,"@pard0nater @GNev2 He's an ex united player, a football pundit and someone who used his position when discussing the super league to inject his opinion on the current government. I suggest you go back and watch the MNL on the super league.",TotallyMUFC
5,2021-09-25 20:35:10+00:00,1441863871178940416,"@pard0nater @GNev2 Still not learned 🤣🤣 

This is a football account, I suggest you keep it to football. The fact you don't see the irony in your replies is frankly shocking.",TotallyMUFC
6,2021-09-25 20:33:02+00:00,1441863335843037184,"@pard0nater @GNev2 Well done on proving his football and politics haven't been mixed 🤣🤣

Idiot",TotallyMUFC
7,2021-09-25 20:23:23+00:00,1441860907412361221,"I've changed my mind

Bring on the super league, the Premier League is dead 🤣 https://t.co/cfQm92XF80",TotallyMUFC
8,2021-09-25 18:56:51+00:00,1441839132825710598,@GNev2 They're not wrong Gary,TotallyMUFC
9,2021-09-25 13:30:58+00:00,1441757120462995457,@ElMago21_ @mdbkx @KarlaHilton1 @DiscoMirror @MirrorFootball Show us those tears,TotallyMUFC
10,2021-09-25 13:27:38+00:00,1441756282059362306,https://t.co/fHNRozV9h8,TotallyMUFC
11,2021-09-25 13:26:41+00:00,1441756040027017217,So how many years does Ole need to beat Aston Villa?,TotallyMUFC
12,2021-09-25 08:31:46+00:00,1441681822744649735,"@daddysbeauts He's been back 5 mins, ole has been in charge 3 years, they are not the same",TotallyMUFC
