,Datetime,Tweet Id,Text,Username
0,2021-09-25 19:42:04+00:00,1441850509565087751,"Your support 👏

#MUFC | @D_DeGea https://t.co/lynfP6NcLh",ManUtd
1,2021-09-25 17:36:00+00:00,1441818782981181441,"""It's a very disappointing day. There are no excuses.""

A frustrated @D_DeGea rues a missed opportunity for United against Aston Villa ⬇

#MUFC | #MUNAVL",ManUtd
2,2021-09-25 15:18:49+00:00,1441784259191181316,"ℹ Ole was asked about the extent of the injuries sustained by @HarryMaguire93 and @LukeShaw23...

#MUFC | #MUNAVL",ManUtd
3,2021-09-25 14:12:46+00:00,1441767639743819784,"Ole's #MUNAVL verdict 👇

#MUFC",ManUtd
4,2021-09-25 13:50:32+00:00,1441762041744826369,"Always with you, @B_Fernandes8 ❤️

#MUFC | #MUNAVL https://t.co/RuUVgciyUU",ManUtd
5,2021-09-25 13:25:38+00:00,1441755779342688256,"A first #PL defeat of the season.

#MUFC | #MUNAVL",ManUtd
6,2021-09-25 13:17:38+00:00,1441753763455197185,"Goal for Aston Villa. 0-1.

#MUFC | #MUNAVL",ManUtd
7,2021-09-25 13:14:30+00:00,1441752976008237058,"👑🇺🇾

#MUFC | #MUNAVL https://t.co/v05w33trhZ",ManUtd
8,2021-09-25 13:11:47+00:00,1441752292949123073,"➡️ Here comes @ECavaniOfficial! 

Edi replaces @McTominay10 in our third switch of the afternoon.

#MUFC | #MUNAVL https://t.co/pFPskJZ9pR",ManUtd
9,2021-09-25 13:00:51+00:00,1441749541888294920,"Building the pressure! 🧱

#MUFC | #MUNAVL https://t.co/oSbytozIFq",ManUtd
10,2021-09-25 12:55:58+00:00,1441748309899681795,"🔄 Another enforced substitution for United, with @VLindelof replacing @HarryMaguire93 due to injury.

#MUFC | #MUNAVL https://t.co/zC9CG0P6Rt",ManUtd
11,2021-09-25 12:54:02+00:00,1441747823515471881,"⏳ Over an hour gone in #MUNAVL, with @PaulPogba going close a few minutes ago with a curled effort over the bar.

#MUFC https://t.co/IGHUxwjWlj",ManUtd
12,2021-09-25 12:34:50+00:00,1441742993044619272,"We're back under way at Old Trafford with work still to do. Let's go! 💪

#MUFC | #MUNAVL",ManUtd
13,2021-09-25 12:28:09+00:00,1441741312575868930,"The tale of the tape so far 🥊

#MUFC | #MUNAVL",ManUtd
14,2021-09-25 12:19:44+00:00,1441739193680490507,"⏸ Still searching for a breakthrough as we reach half-time.

#MUFC | #MUNAVL",ManUtd
15,2021-09-25 12:08:10+00:00,1441736282498031617,"Get well soon, @LukeShaw23 💪

#MUFC | #MUNAVL https://t.co/qeznkEg1xT https://t.co/E3gUZEYgli",ManUtd
16,2021-09-25 12:05:36+00:00,1441735638282240007,"🔄 Ole is forced into a change as @LukeShaw23 picks up a knock — on comes @DalotDiogo. 

#MUFC | #MUNAVL https://t.co/ACnmDGqOmt",ManUtd
17,2021-09-25 11:56:21+00:00,1441733306408595457,"On the front foot 👣

Approaching the half-hour mark at Old Trafford with the game still goalless. 

#MUFC | #MUNAVL https://t.co/rklO5QOFwS",ManUtd
18,2021-09-25 11:50:29+00:00,1441731833281093632,"🗣 “Running down the wing…”

#MUFC | #MUNAVL https://t.co/58ga75Vw1g",ManUtd
